Sequence Number n,EEG (V),,,
0,-1.16E-06,,,
1,-6.17E-07,,,
2,-6.17E-07,,,
3,-3.86E-07,,,
4,2.31E-07,,,
5,1.00E-06,,,
6,7.71E-07,,,
7,2.31E-07,,,
8,1.54E-07,,,
9,6.17E-07,,,
10,4.63E-07,,,
11,-3.86E-07,,,
12,-1.54E-07,,,
13,-7.71E-08,,,
14,-3.09E-07,,,
15,-5.40E-07,,,
0,-1.00E-06,,,
1,-4.63E-07,,,
2,1.54E-07,,,
3,0,,,
4,5.40E-07,,,
5,4.63E-07,,,
6,0,,,
7,-4.63E-07,,,
8,-1.08E-06,,,
9,-3.09E-07,,,
10,-4.63E-07,,,
11,-8.48E-07,,,
12,-6.17E-07,,,
13,-3.09E-07,,,
14,-5.40E-07,,,
15,-9.26E-07,,,
0,-6.17E-07,,,
1,-3.09E-07,,,
2,-3.09E-07,,,
3,3.09E-07,,,
4,0,,,
5,5.40E-07,,,
6,8.48E-07,,,
7,4.63E-07,,,
8,-7.71E-08,,,
9,5.40E-07,,,
10,6.17E-07,,,
11,2.31E-07,,,
12,-1.54E-07,,,
13,3.86E-07,,,
14,1.54E-07,,,
15,-3.09E-07,,,
0,-1.54E-07,,,
1,5.40E-07,,,
2,4.63E-07,,,
3,7.71E-07,,,
4,1.47E-06,,,
5,1.16E-06,,,
6,6.94E-07,,,
7,3.09E-07,,,
8,-5.40E-07,,,
9,1.54E-07,,,
10,-7.71E-08,,,
11,-7.71E-08,,,
12,-4.63E-07,,,
13,-7.71E-08,,,
14,-3.09E-07,,,
15,-3.86E-07,,,
0,-6.17E-07,,,
1,7.71E-08,,,
2,0,,,
3,4.63E-07,,,
4,9.26E-07,,,
5,1.47E-06,,,
6,1.16E-06,,,
7,4.63E-07,,,
8,6.17E-07,,,
9,5.40E-07,,,
10,2.31E-07,,,
11,-7.71E-08,,,
12,-6.17E-07,,,
13,-2.31E-07,,,
14,-7.71E-08,,,
15,-1.54E-07,,,
0,-5.40E-07,,,
1,-3.86E-07,,,
2,-6.94E-07,,,
3,-7.71E-07,,,
4,-8.48E-07,,,
5,7.71E-08,,,
6,7.71E-08,,,
7,-6.17E-07,,,
8,-4.63E-07,,,
9,-3.09E-07,,,
10,-1.00E-06,,,
11,-1.54E-06,,,
12,-1.00E-06,,,
13,-8.48E-07,,,
14,-1.39E-06,,,
15,-1.70E-06,,,
0,-2.16E-06,,,
1,-1.39E-06,,,
2,-1.31E-06,,,
3,-8.48E-07,,,
4,7.71E-08,,,
5,-3.09E-07,,,
6,-1.00E-06,,,
7,-1.39E-06,,,
8,-1.77E-06,,,
9,-1.08E-06,,,
10,-1.31E-06,,,
11,-1.62E-06,,,
12,-1.54E-06,,,
13,-7.71E-07,,,
14,-7.71E-08,,,
15,-3.86E-07,,,
0,-2.31E-07,,,
1,-3.86E-07,,,
2,-7.71E-07,,,
3,-7.71E-07,,,
4,-1.31E-06,,,
5,-1.00E-06,,,
6,-8.48E-07,,,
7,-1.23E-06,,,
8,-1.70E-06,,,
9,-1.00E-06,,,
10,-1.54E-06,,,
11,-1.54E-06,,,
12,-1.85E-06,,,
13,-8.48E-07,,,
14,-1.16E-06,,,
15,-1.54E-06,,,
0,-1.31E-06,,,
1,-5.40E-07,,,
2,-1.00E-06,,,
3,-5.40E-07,,,
4,2.31E-07,,,
5,3.09E-07,,,
6,0,,,
7,-2.31E-07,,,
8,-1.39E-06,,,
9,-8.48E-07,,,
10,-1.00E-06,,,
11,-1.16E-06,,,
12,-1.70E-06,,,
13,-1.08E-06,,,
14,-1.31E-06,,,
15,-1.47E-06,,,
0,-1.62E-06,,,
1,-7.71E-07,,,
2,-1.31E-06,,,
3,-9.26E-07,,,
4,-3.09E-07,,,
5,-1.54E-07,,,
6,-6.94E-07,,,
7,-1.16E-06,,,
8,-1.16E-06,,,
9,-1.00E-06,,,
10,-1.31E-06,,,
11,-1.77E-06,,,
12,-1.31E-06,,,
13,-1.39E-06,,,
14,-1.85E-06,,,
15,-2.08E-06,,,
0,-2.47E-06,,,
1,-1.93E-06,,,
2,-1.85E-06,,,
3,-2.24E-06,,,
4,-2.24E-06,,,
5,-1.47E-06,,,
6,-1.31E-06,,,
7,-1.54E-06,,,
8,-1.47E-06,,,
9,-1.08E-06,,,
10,-1.47E-06,,,
11,-1.62E-06,,,
12,-1.23E-06,,,
13,-9.26E-07,,,
14,-1.47E-06,,,
15,-1.85E-06,,,
0,-2.16E-06,,,
1,-1.85E-06,,,
2,-1.39E-06,,,
3,-1.00E-06,,,
4,0,,,
5,-1.54E-07,,,
6,-1.00E-06,,,
7,-1.54E-06,,,
8,-1.93E-06,,,
9,-1.00E-06,,,
10,-1.23E-06,,,
11,-1.62E-06,,,
12,-1.54E-06,,,
13,-1.00E-06,,,
14,-1.31E-06,,,
15,-1.54E-06,,,
0,-1.23E-06,,,
1,-8.48E-07,,,
2,-9.26E-07,,,
3,-6.94E-07,,,
4,-1.08E-06,,,
5,-7.71E-07,,,
6,-6.17E-07,,,
7,-1.16E-06,,,
8,-1.70E-06,,,
9,-1.08E-06,,,
10,-1.16E-06,,,
11,-1.54E-06,,,
12,-2.01E-06,,,
13,-1.31E-06,,,
14,-1.77E-06,,,
15,-2.16E-06,,,
0,-2.08E-06,,,
1,-1.54E-06,,,
2,-1.77E-06,,,
3,-1.16E-06,,,
4,-3.09E-07,,,
5,-5.40E-07,,,
6,-1.08E-06,,,
7,-3.86E-07,,,
8,-1.00E-06,,,
9,-9.26E-07,,,
10,-1.08E-06,,,
11,-1.62E-06,,,
12,-2.24E-06,,,
13,-2.01E-06,,,
14,-2.24E-06,,,
15,-2.24E-06,,,
0,-2.47E-06,,,
1,-1.93E-06,,,
2,-1.85E-06,,,
3,-1.16E-06,,,
4,-7.71E-07,,,
5,-2.31E-07,,,
6,-1.08E-06,,,
7,-1.77E-06,,,
8,-1.62E-06,,,
9,-1.39E-06,,,
10,-1.77E-06,,,
11,-2.01E-06,,,
12,-2.55E-06,,,
13,-2.08E-06,,,
14,-1.93E-06,,,
15,-1.93E-06,,,
0,-2.16E-06,,,
1,-1.54E-06,,,
2,-1.62E-06,,,
3,-1.85E-06,,,
4,-1.85E-06,,,
5,-7.71E-07,,,
6,-9.26E-07,,,
7,-1.31E-06,,,
8,-1.23E-06,,,
9,-9.26E-07,,,
10,-1.31E-06,,,
11,-1.93E-06,,,
12,-1.39E-06,,,
13,-1.31E-06,,,
14,-1.54E-06,,,
15,-1.93E-06,,,
0,-2.31E-06,,,
1,-1.93E-06,,,
2,-1.62E-06,,,
3,-1.47E-06,,,
4,-5.40E-07,,,
5,-7.71E-07,,,
6,-1.39E-06,,,
7,-1.54E-06,,,
8,-2.24E-06,,,
9,-1.54E-06,,,
10,-1.62E-06,,,
11,-1.85E-06,,,
12,-1.85E-06,,,
13,-1.23E-06,,,
14,-1.47E-06,,,
15,-1.85E-06,,,
0,-1.23E-06,,,
1,-1.16E-06,,,
2,-1.23E-06,,,
3,-6.94E-07,,,
4,-9.26E-07,,,
5,-8.48E-07,,,
6,-9.26E-07,,,
7,-1.39E-06,,,
8,-2.01E-06,,,
9,-1.54E-06,,,
10,-1.77E-06,,,
11,-1.93E-06,,,
12,-2.39E-06,,,
13,-1.85E-06,,,
14,-1.62E-06,,,
15,-2.24E-06,,,
0,-2.01E-06,,,
1,-1.62E-06,,,
2,-1.93E-06,,,
3,-2.31E-06,,,
4,-1.62E-06,,,
5,-1.39E-06,,,
6,-1.47E-06,,,
7,-2.01E-06,,,
8,-2.62E-06,,,
9,-2.01E-06,,,
10,-1.85E-06,,,
11,-1.85E-06,,,
12,-2.16E-06,,,
13,-1.31E-06,,,
14,-1.39E-06,,,
15,-1.54E-06,,,
0,-1.85E-06,,,
1,-7.71E-07,,,
2,-1.00E-06,,,
3,-5.40E-07,,,
4,-3.09E-07,,,
5,-3.86E-07,,,
6,4.63E-07,,,
7,0,,,
8,2.31E-07,,,
9,1.54E-07,,,
10,-3.09E-07,,,
11,-6.17E-07,,,
12,-1.23E-06,,,
13,-7.71E-07,,,
14,-5.40E-07,,,
15,-6.17E-07,,,
0,-1.08E-06,,,
1,-3.09E-07,,,
2,-3.86E-07,,,
3,7.71E-08,,,
4,3.86E-07,,,
5,1.08E-06,,,
6,8.48E-07,,,
7,3.86E-07,,,
8,3.86E-07,,,
9,6.94E-07,,,
10,3.09E-07,,,
11,0,,,
12,2.31E-07,,,
13,4.63E-07,,,
14,0,,,
15,-3.09E-07,,,
0,-8.48E-07,,,
1,-3.09E-07,,,
2,-7.71E-08,,,
3,7.71E-08,,,
4,9.26E-07,,,
5,5.40E-07,,,
6,-2.31E-07,,,
7,-6.17E-07,,,
8,-7.71E-07,,,
9,0,,,
10,-7.71E-08,,,
11,-3.86E-07,,,
12,-3.09E-07,,,
13,-7.71E-08,,,
14,-4.63E-07,,,
15,-7.71E-07,,,
0,-1.54E-07,,,
1,0,,,
2,7.71E-08,,,
3,5.40E-07,,,
4,7.71E-08,,,
5,2.31E-07,,,
6,4.63E-07,,,
7,-2.31E-07,,,
8,-8.48E-07,,,
9,-3.86E-07,,,
10,-7.71E-07,,,
11,-1.08E-06,,,
12,-1.39E-06,,,
13,-5.40E-07,,,
14,-6.94E-07,,,
15,-1.23E-06,,,
0,-9.26E-07,,,
1,-3.86E-07,,,
2,-5.40E-07,,,
3,-7.71E-08,,,
4,6.94E-07,,,
5,6.17E-07,,,
6,4.63E-07,,,
7,-3.09E-07,,,
8,-8.48E-07,,,
9,-3.86E-07,,,
10,-1.54E-07,,,
11,-3.09E-07,,,
12,-4.63E-07,,,
13,3.09E-07,,,
14,2.31E-07,,,
15,0,,,
0,-7.71E-08,,,
1,6.17E-07,,,
2,5.40E-07,,,
3,1.08E-06,,,
4,1.23E-06,,,
5,1.93E-06,,,
6,1.85E-06,,,
7,1.23E-06,,,
8,1.62E-06,,,
9,1.39E-06,,,
10,1.16E-06,,,
11,8.48E-07,,,
12,3.86E-07,,,
13,7.71E-07,,,
14,9.26E-07,,,
15,6.94E-07,,,
0,4.63E-07,,,
1,1.08E-06,,,
2,9.26E-07,,,
3,9.26E-07,,,
4,1.16E-06,,,
5,1.70E-06,,,
6,1.70E-06,,,
7,1.54E-06,,,
8,1.31E-06,,,
9,2.08E-06,,,
10,1.70E-06,,,
11,1.47E-06,,,
12,1.77E-06,,,
13,1.70E-06,,,
14,1.47E-06,,,
15,1.16E-06,,,
0,9.26E-07,,,
1,1.31E-06,,,
2,1.16E-06,,,
3,1.31E-06,,,
4,1.93E-06,,,
5,1.77E-06,,,
6,2.01E-06,,,
7,2.16E-06,,,
8,2.16E-06,,,
9,2.39E-06,,,
10,1.70E-06,,,
11,1.31E-06,,,
12,1.08E-06,,,
13,1.77E-06,,,
14,1.31E-06,,,
15,1.16E-06,,,
0,1.54E-06,,,
1,1.23E-06,,,
2,1.39E-06,,,
3,2.01E-06,,,
4,1.62E-06,,,
5,1.93E-06,,,
6,2.08E-06,,,
7,1.70E-06,,,
8,1.16E-06,,,
9,1.47E-06,,,
10,1.23E-06,,,
11,1.16E-06,,,
12,1.08E-06,,,
13,1.70E-06,,,
14,2.62E-06,,,
15,2.55E-06,,,
0,2.31E-06,,,
1,2.55E-06,,,
2,2.01E-06,,,
3,2.16E-06,,,
4,2.70E-06,,,
5,2.39E-06,,,
6,1.93E-06,,,
7,1.31E-06,,,
8,7.71E-07,,,
9,1.23E-06,,,
10,1.00E-06,,,
11,8.48E-07,,,
12,4.63E-07,,,
13,8.48E-07,,,
14,9.26E-07,,,
15,6.17E-07,,,
0,6.94E-07,,,
1,1.16E-06,,,
2,9.26E-07,,,
3,1.31E-06,,,
4,1.31E-06,,,
5,1.70E-06,,,
6,1.23E-06,,,
7,8.48E-07,,,
8,1.08E-06,,,
9,8.48E-07,,,
10,5.40E-07,,,
11,0,,,
12,-1.54E-07,,,
13,1.54E-07,,,
14,3.86E-07,,,
15,3.09E-07,,,
0,-2.31E-07,,,
1,2.31E-07,,,
2,1.54E-07,,,
3,1.54E-07,,,
4,7.71E-08,,,
5,5.40E-07,,,
6,5.40E-07,,,
7,1.54E-07,,,
8,3.86E-07,,,
9,9.26E-07,,,
10,5.40E-07,,,
11,3.09E-07,,,
12,4.63E-07,,,
13,7.71E-08,,,
14,-3.09E-07,,,
15,-6.17E-07,,,
0,-1.00E-06,,,
1,-4.63E-07,,,
2,-1.54E-07,,,
3,0,,,
4,8.48E-07,,,
5,1.70E-06,,,
6,1.54E-06,,,
7,1.23E-06,,,
8,9.26E-07,,,
9,1.16E-06,,,
10,7.71E-07,,,
11,3.09E-07,,,
12,3.09E-07,,,
13,1.08E-06,,,
14,7.71E-07,,,
15,4.63E-07,,,
0,8.48E-07,,,
1,8.48E-07,,,
2,6.94E-07,,,
3,1.23E-06,,,
4,8.48E-07,,,
5,1.00E-06,,,
6,9.26E-07,,,
7,5.40E-07,,,
8,-7.71E-08,,,
9,-6.94E-07,,,
10,-4.63E-07,,,
11,7.71E-08,,,
12,-1.54E-07,,,
13,4.63E-07,,,
14,1.47E-06,,,
15,1.16E-06,,,
0,1.16E-06,,,
1,1.62E-06,,,
2,1.31E-06,,,
3,1.93E-06,,,
4,2.08E-06,,,
5,1.77E-06,,,
6,1.23E-06,,,
7,6.17E-07,,,
8,1.54E-07,,,
9,2.31E-07,,,
10,3.86E-07,,,
11,2.31E-07,,,
12,-7.71E-08,,,
13,5.40E-07,,,
14,4.63E-07,,,
15,2.31E-07,,,
0,-3.09E-07,,,
1,3.09E-07,,,
2,3.86E-07,,,
3,5.40E-07,,,
4,1.23E-06,,,
5,1.77E-06,,,
6,1.31E-06,,,
7,6.17E-07,,,
8,6.94E-07,,,
9,3.86E-07,,,
10,-7.71E-08,,,
11,-3.86E-07,,,
12,0,,,
13,-1.54E-07,,,
14,-5.40E-07,,,
15,-7.71E-07,,,
0,-1.39E-06,,,
1,-1.00E-06,,,
2,-1.31E-06,,,
3,-8.48E-07,,,
4,-3.09E-07,,,
5,8.48E-07,,,
6,5.40E-07,,,
7,-2.31E-07,,,
8,-3.09E-07,,,
9,-1.54E-07,,,
10,-4.63E-07,,,
11,-8.48E-07,,,
12,-3.09E-07,,,
13,-4.63E-07,,,
14,-8.48E-07,,,
15,-1.00E-06,,,
0,-1.62E-06,,,
1,-1.08E-06,,,
2,-8.48E-07,,,
3,-4.63E-07,,,
4,6.94E-07,,,
5,6.17E-07,,,
6,7.71E-08,,,
7,-6.17E-07,,,
8,-1.16E-06,,,
9,-3.09E-07,,,
10,-4.63E-07,,,
11,-8.48E-07,,,
12,-7.71E-07,,,
13,-3.09E-07,,,
14,-3.86E-07,,,
15,-6.94E-07,,,
0,-3.86E-07,,,
1,0,,,
2,-1.54E-07,,,
3,3.09E-07,,,
4,-7.71E-08,,,
5,3.09E-07,,,
6,2.31E-07,,,
7,-7.71E-08,,,
8,-7.71E-07,,,
9,-7.71E-08,,,
10,-3.86E-07,,,
11,-4.63E-07,,,
12,-6.17E-07,,,
13,2.31E-07,,,
14,3.09E-07,,,
15,7.71E-08,,,
0,3.86E-07,,,
1,9.26E-07,,,
2,5.40E-07,,,
3,8.48E-07,,,
4,1.39E-06,,,
5,1.31E-06,,,
6,8.48E-07,,,
7,3.09E-07,,,
8,-3.86E-07,,,
9,0,,,
10,1.54E-07,,,
11,-3.86E-07,,,
12,-8.48E-07,,,
13,-7.71E-08,,,
14,-1.54E-07,,,
15,-7.71E-08,,,
0,-6.17E-07,,,
1,2.31E-07,,,
2,0,,,
3,4.63E-07,,,
4,1.00E-06,,,
5,1.54E-06,,,
6,1.00E-06,,,
7,5.40E-07,,,
8,6.17E-07,,,
9,6.94E-07,,,
10,1.08E-06,,,
11,6.94E-07,,,
12,4.63E-07,,,
13,6.17E-07,,,
14,6.17E-07,,,
15,3.86E-07,,,
0,-2.31E-07,,,
1,0,,,
2,-3.09E-07,,,
3,-3.86E-07,,,
4,-3.86E-07,,,
5,6.17E-07,,,
6,9.26E-07,,,
7,3.09E-07,,,
8,2.31E-07,,,
9,8.48E-07,,,
10,4.63E-07,,,
11,-1.54E-07,,,
12,7.71E-08,,,
13,3.86E-07,,,
14,-2.31E-07,,,
15,-5.40E-07,,,
0,-7.71E-08,,,
1,-1.54E-07,,,
2,-3.86E-07,,,
3,-3.86E-07,,,
4,0,,,
5,6.94E-07,,,
6,3.86E-07,,,
7,7.71E-08,,,
8,-4.63E-07,,,
9,-2.31E-07,,,
10,-6.17E-07,,,
11,-6.94E-07,,,
12,-1.00E-06,,,
13,-4.63E-07,,,
14,-1.00E-06,,,
15,-1.47E-06,,,
0,-2.01E-06,,,
1,-1.70E-06,,,
2,-1.00E-06,,,
3,-9.26E-07,,,
4,1.54E-07,,,
5,3.09E-07,,,
6,-7.71E-08,,,
7,-9.26E-07,,,
8,-1.54E-06,,,
9,-9.26E-07,,,
10,-1.00E-06,,,
11,-1.39E-06,,,
12,-1.70E-06,,,
13,-1.00E-06,,,
14,-1.31E-06,,,
15,-1.47E-06,,,
0,-1.70E-06,,,
1,-1.08E-06,,,
2,-1.16E-06,,,
3,-9.26E-07,,,
4,7.71E-08,,,
5,2.31E-07,,,
6,0,,,
7,-5.40E-07,,,
8,-1.08E-06,,,
9,-5.40E-07,,,
10,-6.94E-07,,,
11,-9.26E-07,,,
12,-1.39E-06,,,
13,-7.71E-07,,,
14,-6.94E-07,,,
15,-1.16E-06,,,
0,-1.54E-06,,,
1,-6.94E-07,,,
2,-9.26E-07,,,
3,-7.71E-08,,,
4,5.40E-07,,,
5,1.16E-06,,,
6,7.71E-07,,,
7,7.71E-08,,,
8,7.71E-08,,,
9,-1.54E-07,,,
10,-6.17E-07,,,
11,-9.26E-07,,,
12,-1.54E-06,,,
13,-8.48E-07,,,
14,-6.94E-07,,,
15,-7.71E-07,,,
0,-1.16E-06,,,
1,-4.63E-07,,,
2,-3.86E-07,,,
3,-6.94E-07,,,
4,-3.09E-07,,,
5,2.31E-07,,,
6,2.31E-07,,,
7,-2.31E-07,,,
8,-7.71E-08,,,
9,2.31E-07,,,
10,0,,,
11,-5.40E-07,,,
12,-2.31E-07,,,
13,-1.54E-07,,,
14,-4.63E-07,,,
15,-4.63E-07,,,
0,-1.23E-06,,,
1,-2.31E-07,,,
2,-1.54E-07,,,
3,2.31E-07,,,
4,9.26E-07,,,
5,9.26E-07,,,
6,2.31E-07,,,
7,-7.71E-08,,,
8,-6.17E-07,,,
9,1.54E-07,,,
10,-1.54E-07,,,
11,-4.63E-07,,,
12,-4.63E-07,,,
13,-7.71E-08,,,
14,-3.09E-07,,,
15,-6.94E-07,,,
0,-2.31E-07,,,
1,2.31E-07,,,
2,3.86E-07,,,
3,8.48E-07,,,
4,5.40E-07,,,
5,7.71E-07,,,
6,6.17E-07,,,
7,1.54E-07,,,
8,-3.09E-07,,,
9,2.31E-07,,,
10,-2.31E-07,,,
11,-3.09E-07,,,
12,-7.71E-07,,,
13,-7.71E-08,,,
14,-2.31E-07,,,
15,-6.17E-07,,,
0,-4.63E-07,,,
1,0,,,
2,-7.71E-08,,,
3,4.63E-07,,,
4,1.16E-06,,,
5,1.16E-06,,,
6,6.17E-07,,,
7,1.54E-07,,,
8,-4.63E-07,,,
9,-7.71E-08,,,
10,7.71E-08,,,
11,-3.09E-07,,,
12,-7.71E-07,,,
13,-7.71E-08,,,
14,-2.31E-07,,,
15,-3.09E-07,,,
0,-4.63E-07,,,
1,2.31E-07,,,
2,0,,,
3,3.09E-07,,,
4,6.17E-07,,,
5,1.16E-06,,,
6,6.17E-07,,,
7,2.31E-07,,,
8,4.63E-07,,,
9,3.09E-07,,,
10,7.71E-08,,,
11,-6.17E-07,,,
12,-1.23E-06,,,
13,-6.17E-07,,,
14,-1.54E-07,,,
15,0,,,
0,-5.40E-07,,,
1,2.31E-07,,,
2,-2.31E-07,,,
3,7.71E-08,,,
4,3.86E-07,,,
5,1.08E-06,,,
6,7.71E-07,,,
7,8.48E-07,,,
8,1.08E-06,,,
9,1.54E-06,,,
10,1.16E-06,,,
11,4.63E-07,,,
12,3.86E-07,,,
13,7.71E-08,,,
14,-1.54E-07,,,
15,-5.40E-07,,,
0,-1.08E-06,,,
1,-6.17E-07,,,
2,-2.31E-07,,,
3,7.71E-08,,,
4,9.26E-07,,,
5,8.48E-07,,,
6,-2.31E-07,,,
7,-5.40E-07,,,
8,-6.94E-07,,,
9,0,,,
10,-1.54E-07,,,
11,-3.09E-07,,,
12,-1.54E-07,,,
13,2.31E-07,,,
14,-7.71E-08,,,
15,-3.09E-07,,,
0,7.71E-08,,,
1,2.31E-07,,,
2,5.40E-07,,,
3,7.71E-07,,,
4,4.63E-07,,,
5,5.40E-07,,,
6,5.40E-07,,,
7,1.54E-07,,,
8,-6.17E-07,,,
9,0,,,
10,-3.09E-07,,,
11,-6.17E-07,,,
12,-9.26E-07,,,
13,0,,,
14,-1.54E-07,,,
15,-6.17E-07,,,
0,-5.40E-07,,,
1,1.54E-07,,,
2,-7.71E-08,,,
3,2.31E-07,,,
4,1.23E-06,,,
5,8.48E-07,,,
6,4.63E-07,,,
7,-1.54E-07,,,
8,-6.17E-07,,,
9,-3.09E-07,,,
10,-1.54E-07,,,
11,-2.31E-07,,,
12,-6.94E-07,,,
13,0,,,
14,-3.09E-07,,,
15,-4.63E-07,,,
0,-8.48E-07,,,
1,0,,,
2,1.54E-07,,,
3,2.31E-07,,,
4,1.08E-06,,,
5,1.23E-06,,,
6,7.71E-07,,,
7,1.54E-07,,,
8,2.31E-07,,,
9,7.71E-08,,,
10,-3.86E-07,,,
11,-8.48E-07,,,
12,-4.63E-07,,,
13,-4.63E-07,,,
14,-6.17E-07,,,
15,-1.08E-06,,,
0,-1.54E-06,,,
1,-9.26E-07,,,
2,-9.26E-07,,,
3,-1.00E-06,,,
4,-9.26E-07,,,
5,3.09E-07,,,
6,3.09E-07,,,
7,0,,,
8,0,,,
9,5.40E-07,,,
10,2.31E-07,,,
11,-1.54E-07,,,
12,0,,,
13,2.31E-07,,,
14,-3.09E-07,,,
15,-5.40E-07,,,
0,-9.26E-07,,,
1,-3.86E-07,,,
2,0,,,
3,7.71E-08,,,
4,7.71E-07,,,
5,5.40E-07,,,
6,0,,,
7,-3.86E-07,,,
8,-7.71E-07,,,
9,0,,,
10,-7.71E-08,,,
11,-6.94E-07,,,
12,-1.23E-06,,,
13,-1.39E-06,,,
14,-4.63E-07,,,
15,-4.63E-07,,,
0,0,,,
1,0,,,
2,1.54E-07,,,
3,7.71E-07,,,
4,1.39E-06,,,
5,1.39E-06,,,
6,8.48E-07,,,
7,7.71E-08,,,
8,-3.86E-07,,,
9,1.54E-07,,,
10,-3.09E-07,,,
11,-4.63E-07,,,
12,-6.17E-07,,,
13,2.31E-07,,,
14,2.31E-07,,,
15,-3.09E-07,,,
0,-2.31E-07,,,
1,3.09E-07,,,
2,1.54E-07,,,
3,4.63E-07,,,
4,1.16E-06,,,
5,1.08E-06,,,
6,5.40E-07,,,
7,-7.71E-08,,,
8,-6.94E-07,,,
9,-4.63E-07,,,
10,-2.31E-07,,,
11,-6.17E-07,,,
12,-1.16E-06,,,
13,-3.86E-07,,,
14,-6.17E-07,,,
15,-6.94E-07,,,
0,-9.26E-07,,,
1,-3.09E-07,,,
2,-2.31E-07,,,
3,3.09E-07,,,
4,7.71E-07,,,
5,1.39E-06,,,
6,1.16E-06,,,
7,3.09E-07,,,
8,3.09E-07,,,
9,7.71E-08,,,
10,-1.54E-07,,,
11,-3.86E-07,,,
12,-9.26E-07,,,
13,-4.63E-07,,,
14,-3.09E-07,,,
15,-4.63E-07,,,
0,-9.26E-07,,,
1,-5.40E-07,,,
2,-7.71E-07,,,
3,-6.94E-07,,,
4,-7.71E-07,,,
5,2.31E-07,,,
6,2.31E-07,,,
7,-7.71E-08,,,
8,-1.54E-07,,,
9,2.31E-07,,,
10,0,,,
11,-4.63E-07,,,
12,-1.54E-07,,,
13,7.71E-08,,,
14,-3.86E-07,,,
15,-6.17E-07,,,
0,-1.16E-06,,,
1,-3.86E-07,,,
2,1.54E-07,,,
3,4.63E-07,,,
4,1.39E-06,,,
5,1.23E-06,,,
6,5.40E-07,,,
7,0,,,
8,-3.86E-07,,,
9,3.09E-07,,,
10,7.71E-08,,,
11,-3.09E-07,,,
12,-1.54E-07,,,
13,3.09E-07,,,
14,3.09E-07,,,
15,2.31E-07,,,
0,5.40E-07,,,
1,5.40E-07,,,
2,2.31E-07,,,
3,8.48E-07,,,
